,name,info,opentime,lat,lng,address,category,phone,label,station,average_score,thumbnail
12,가마치통닭 명장점,0,월-금오후 3시 - 오후 11시|토요일오후 1시 - 오후 11시|휴무일매주 일요일,35.2079432,129.1024219,부산광역시 동래구 명장동 326-4,"['치맥', ' 통닭']",051-522-9192,음식점,0,0,0
13,루흐,0,"화,수,목,금,토/일오전 11시 30분 - 오후 9시|휴무일매주 월요일",35.0982282,129.0340254,부산광역시 중구 광복동1가 56-1,"['파스타', ' 알리오올리오']",0,음식점,0,0,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20201115110537_photo3_ec2755d07c64.jpg
14,가야한방밀면,0,매일오전 10시 - 오후 8시,35.1603975,129.0594617,부산광역시 부산진구 부전동 265-6,"['국수', ' 물밀면']",051-802-6888,음식점,0,0,https://d2t7cq5f1ua57i.cloudfront.net/images/r_images/59646/57472/59646_57472_86_0_5098_2017132221980.jpg
15,본가가야밀면,0,매일오전 9시 - 오후 7시,35.1336596,129.100723,부산광역시 남구 대연동 513-7,"['국수', ' 물밀면']",051-624-3222,음식점,0,0,0
16,역전할머니맥주 부산서동점,0,"월-금,토오후 5시 - 오전 3시|일요일오후 5시 - 오전 2시",35.2148321,129.1068985,부산광역시 금정구 서동 205-1,"['맥주', ' 얼음맥주']",051-523-0855,음식점,0,0,0
17,족장의칼 안락점,0,"월-금,토오전 11시 30분 - 오후 10시 30분|휴무일매주 일요일",35.1957457,129.1041107,부산광역시 동래구 안락동 603-8,['족발'],051-531-3577,음식점,0,0,https://d2t7cq5f1ua57i.cloudfront.net/images/r_images/55091/58205/55091_58205_80_0_8766_201722744519175.jpg
18,가미,0,"월-금,토오후 6시 - 오후 10시|휴무일매주 일요일",35.1676138,129.1311574,부산광역시 해운대구 우동 1520 롯데갤러리움,"['오마카세', ' 일식']",051-746-5252,음식점,0,0,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20220124022342_photo1_d866ef883f79.jpg
19,모던테이블,0,매일정오 12시 - 오후 11시,35.153893,129.0616361,부산광역시 부산진구 부전동 220-1,"['와플', ' 카페라떼']",051-809-0301,음식점,0,0,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20211220061825_photo1_3dcdb64cfd98.jpg
20,빛날빈,0,"월,수,목,금,토/일오후 5시 - 오전 1시|휴무일매주 화요일",35.0994062,129.0323523,"부산광역시 중구 광복동2가 2-86 1, 2층","['오마카세', ' 이자카야']",051-242-9924,음식점,0,0,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20211017100753122_photo_wP3KozDlpWwg.jpg
23,어반테이블,0,"매일오전 9시 - 오후 10시                                            (월~목)|금,토/일오전 9시 - 오후 10시 30분",35.0856695,128.9100498,부산광역시 강서구 명지동 3260-4,"['아이스크림', ' 팥빙수']",051-941-1888,음식점,0,0,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20190719125040343_photo_ccb184abf644.jpg
24,홈팝참치 서동점,0,월-금오후 5시 - 오전 2시,35.2147782,129.1060872,부산광역시 금정구 서동 204-13,['생선회'],051-529-3782,음식점,0,0,0
26,문현곱창,0,매일오후 4시 30분 - 오후 11시 30분                                            (매주 넷째주 일요일 휴무),35.076905,128.9775838,부산광역시 사하구 장림동 307,"['오겹살', ' 곱창']",051-264-5715,음식점,0,0,https://d2t7cq5f1ua57i.cloudfront.net/images/r_images/51626/59341/51626_59341__9104974.jpg
28,옆집아줌마,0,"월-금,토오후 4시 30분 - 오전 1시|휴무일매주 일요일",35.1926619,129.1034453,부산광역시 동래구 안락동 243-1,"['술집', ' 아구수육']",051-527-0949,음식점,0,0,https://d2t7cq5f1ua57i.cloudfront.net/images/r_images/56469/51744/56469_51744_86_0_3305_2018111255827978.jpg
29,쪽닭,0,"월-금,토오전 11시 - 오후 10시|휴무일매주 일요일",35.2085722,129.0332424,부산광역시 북구 만덕동 835-38,"['쪽갈비', ' 닭도리탕']",051-969-9293,음식점,0,0,0
30,영호회집,0,0,35.0957454,129.0248307,부산광역시 서구 충무동1가 14-30,"['매운탕', ' 장어탕']",0,음식점,0,0,0
31,오륙도낙지,0,매일오전 11시 - 오후 9시,35.1364052,129.0555429,부산광역시 동구 범일동 181-1,"['낙지', ' 낙곱새']",051-638-1589,음식점,0,0,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20211009120149_photo1_c3f64c631dc5.jpg
32,황궁쟁반짜장,0,매일오전 11시 - 오후 9시,35.2319811,129.1555683,부산광역시 해운대구 반송동 40-573,"['중국집', ' 쟁반짜장']",051-545-1177,음식점,0,0,https://d2t7cq5f1ua57i.cloudfront.net/images/r_images/52667/57470/52667_57470_86_0_6142_2018417225325538.jpg
33,원향루,0,"월-목,토/일오전 9시 - 오후 9시|휴무일매주 금요일",35.1094458,128.9671159,부산광역시 사하구 하단동 510-1,"['중국집', ' 탕수육']",051-208-2584,음식점,0,0,0
34,또순이실비,0,0,35.0974279,128.9943527,부산광역시 사하구 괴정동 954-5,"['맥주', ' 호프']",051-208-8456,음식점,0,0,0
35,오케이조개구이,0,매일오후 4시 - 오전 1시 30분,35.2098937,129.0753737,부산광역시 동래구 온천동 707-1,"['장어구이', ' 조개구이']",051-558-2641,음식점,0,0,https://d2t7cq5f1ua57i.cloudfront.net/images/r_images/58195/50486/58195_50486_86_0_560_201811982235485.jpg
36,맘스터치 부산대청점,0,월-금오전 11시 - 오후 10시,35.1027497,129.0300998,부산광역시 중구 대청동2가 22-6,"['치킨', ' 치킨버거']",051-245-1836,음식점,0,0,0
39,하삼동커피 자갈치역점,0,월-금오전 7시 30분 - 오후 10시|토/일오전 8시 - 오후 10시,35.0970186,129.0246734,부산광역시 서구 충무동1가 7-5,"['카페', ' 커피']",051-244-3213,음식점,0,0,0
40,겐로쿠우동 부산대점,0,매일오전 11시 30분 - 오후 9시 30분,35.2311449,129.0862299,부산광역시 금정구 장전동 421-1,"['우동', ' 소바']",051-515-1126,음식점,0,0,0
42,만복국수집 대연점,0,매일오후 4시 - 오전 2시                                            (사회적거리두기기간22:00),35.1339337,129.0921494,부산광역시 남구 대연동 1738-5,"['복국', ' 국수']",051-612-1312,음식점,0,0,0
43,락빈칼국수,0,매일오전 11시 - 오후 9시,35.1443924,128.9877685,부산광역시 사상구 학장동 387-2,"['닭칼국수', ' 비빔밥']",051-463-0202,음식점,0,0,0
44,메가커피 개금점,0,매일오전 8시 30분 - 오후 9시,35.1528698,129.0245862,부산광역시 부산진구 개금동 171-121,"['커피', ' 프라페']",051-893-5000,음식점,0,0,0
45,카페브루벡,0,"월-금,토정오 12시 - 오후 10시|휴무일매주 일요일",35.1784611,129.071061,부산광역시 연제구 거제동 500-26,"['브런치', ' 카페']",051-867-9199,음식점,0,0,https://d2t7cq5f1ua57i.cloudfront.net/images/r_images/57512/57768/57512_57768_80_0_9291_201722621489541.jpg
46,스시투어 경성대점,0,매일오전 11시 - 오후 10시,35.13767,129.1017052,부산광역시 남구 대연동 54-5 리마크빌 지하 1층 B104호,"['회전초밥', ' 점심특선']",051-625-8089,음식점,0,0,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210613123235_photo4_6b8cf70e0d4c.jpg
47,제주흑도야지,0,0,35.1538275,129.0189723,부산광역시 부산진구 개금동 478-8,"['흑돼지', ' 고기집']",051-891-9292,음식점,0,0,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210604074427_photo2_9824db2b7cd9.jpg
48,이디야커피 부산신만덕점,0,월-금오전 8시 30분 - 오후 11시|토/일오전 9시 30분 - 오후 11시,35.2097536,129.0365511,부산광역시 북구 만덕동 287-2,"['커피', ' 카페']",051-336-3800,음식점,0,0,0
49,바리스트로 명지더샵점,0,"월,수,목,금오전 8시 - 오후 9시|화,토/일오전 9시 - 오후 9시                                            (삼일절)",35.107921,128.9266295,부산광역시 강서구 명지동 3594,"['디저트카페', ' 커피']",051-981-4500,음식점,0,0,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20211226104057459_photo_43fde11766ba.jpg
52,하노이쌀국수먹을래,0,매일오전 10시 30분 - 오후 10시,35.1724122,128.9841147,부산광역시 사상구 덕포동 416-29,"['베트남', ' 쌀국수']",0,음식점,0,0,0
54,그집짬뽕927 양정점,0,매일오전 11시 - 오후 9시,35.1696605,129.0699884,부산광역시 부산진구 양정동 362-7,"['짬뽕', ' 차돌짬뽕']",051-992-5297,음식점,0,0,0
55,뜨락쌈전문점,0,월-금오전 11시 - 오후 10시,35.1553271,129.0560661,부산광역시 부산진구 부전동 519-36,"['쌈밥', ' 고등어조림']",051-806-9098,음식점,0,0,https://d2t7cq5f1ua57i.cloudfront.net/images/r_images/54692/50090/54692_50090_84_3_1554_2013111912011119.jpg
56,만디호프,0,0,35.1079371,129.0304393,부산광역시 중구 대청동4가 2-155,"['맥주', ' 호프']",0,음식점,0,0,0
57,인생닭강정 온천장역점,0,"화,수,목,금,토/일오후 3시 - 오후 10시 30분|휴무일매주 월요일",35.2206673,129.0871359,부산광역시 금정구 부곡동 873-35,"['닭강정', ' 매콤닭강정']",051-518-4543,음식점,0,0,0
58,애돈촌돼지국밥,0,0,35.1773522,129.0765774,부산광역시 연제구 연산동 867-51,"['돼지국밥', ' 수육']",051-851-2677,음식점,0,0,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210723093057202_photo_60d831ce2f5c.jpg
59,바보돼지두마리,0,매일오전 11시 - 오후 11시 30분,35.1053636,128.9757495,부산광역시 사하구 당리동 85-3,"['김치찌개', ' 돼지고기']",051-292-9122,음식점,0,0,0
60,영동횟집,0,0,35.1556979,129.1242437,부산광역시 수영구 민락동 181-13,"['회센터', ' 횟집']",051-753-2437,음식점,0,0,https://d2t7cq5f1ua57i.cloudfront.net/images/r_images/59338/55988/59338_55988_89_0_8903_20169200225972.jpg
62,스타벅스,0,"월-금,토오전 7시 - 오후 10시|일요일오전 9시 - 오후 6시",35.1371554,129.1007053,부산광역시 남구 대연동 55-1,"['카페', ' 콜드브루']",1522-3232,음식점,0,0,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20191016110001479_photo_64d5f85d59a6.jpg
64,국수명가,0,매일오전 11시 - 오후 8시,35.1783761,129.1219704,부산광역시 해운대구 재송동 1200,['국수'],051-755-9500,음식점,0,0,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20200106052323_photo1_78067db6e0c9.jpg
65,카페모심,0,"월,화,목,금오전 7시 30분 - 오후 9시|수,토/일오전 9시 - 오후 9시",35.1016908,129.0182243,부산광역시 서구 아미동2가 15-7,"['카페', ' 약과']",0,음식점,0,0,0
66,만복국수집,0,매일오후 3시 - 오전 3시,35.163484,128.9847634,부산광역시 사상구 괘법동 535-14,"['국수', ' 복국']",051-313-9919,음식점,0,0,https://d2t7cq5f1ua57i.cloudfront.net/images/r_images/52657/58126/52657_58126_76_0_5093_201674161921523.jpg
67,해림촌횟집,0,매일오전 11시 - 오후 10시,35.2093543,129.1029638,부산광역시 동래구 명장동 321-9,"['회덮밥', ' 횟집']",051-532-7658,음식점,0,0,0
68,몰타,0,"월-목,일오후 5시 - 오전 1시|금,토오후 5시 - 오전 2시",35.2332725,129.0865878,부산광역시 금정구 장전동 390-9 2층,['bar'],0,음식점,0,0,0
69,BHC치킨,0,0,35.2390538,129.0240141,부산광역시 북구 화명동 2324,"['치킨', ' 치밥']",051-342-5592,음식점,0,0,0
70,청아대,0,0,35.1875194,129.0800559,부산광역시 연제구 연산동 1127-2,"['한식', ' 육회']",051-852-7604,음식점,0,0,0
71,동성루,0,매일오전 11시 - 오후 8시,35.1969733,129.0877854,부산광역시 동래구 수안동 38-40,"['짜장면', ' 짬뽕']",051-555-0451,음식점,0,0,0
72,떡볶이참잘하는집 떡참 부산대신점,0,매일오전 11시 - 오후 11시,35.1084328,129.0173144,부산광역시 서구 서대신동1가 50-7,['떡볶이'],051-247-3233,음식점,0,0,0
73,대패생각 다대점,0,0,35.0556365,128.9674986,부산광역시 사하구 다대동 1582-10,['돼지고기'],051-265-6692,음식점,0,0,0
74,대풍기계밀면,0,"월,수,목,금,토/일오전 10시 - 오후 9시|휴무일매주 화요일",35.1686758,129.1773978,부산광역시 해운대구 좌동 1480-1,"['냉면', ' 물밀면']",051-703-6667,음식점,0,0,https://d2t7cq5f1ua57i.cloudfront.net/images/r_images/59362/50788/59362_50788_86_0_2415_20161121193156729.jpg
75,복수가게,0,"수-금,토오전 11시 - 자정 12시|휴무일매주 월,화,일",35.2374999,129.0855873,부산광역시 금정구 장전동 155-17,"['카페', ' 치즈스콘']",070-8866-4186,음식점,0,0,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210618031931_photo1_824908e9b4f8.jpg
76,강대감손칼국수,0,0,35.2090949,129.0033574,부산광역시 북구 구포동 598-9,"['손칼국수', ' 수제칼국수']",051-334-3158,음식점,0,0,0
77,원제면소,0,"월-목오전 11시 - 오후 10시|금,토오전 11시 - 자정 12시|쉬는시간 매주 월-목오후 2시 30분 - 오후 4시 30분|휴무일매주 일요일",35.1302368,129.04871,부산광역시 동구 수정동 227-20,"['칼국수', ' 조개전골']",051-466-7889,음식점,0,0,0
79,해초과메기 양정점,0,매일오후 2시 - 자정 12시,35.1741062,129.07719,부산광역시 부산진구 양정동 90-8,"['과메기', ' 해초비빔밥']",051-715-6979,음식점,0,0,0
80,토북베이커리,0,월-금오전 10시 - 오후 10시|토/일오전 9시 - 오후 10시,35.11187,128.8778727,부산광역시 강서구 화전동 553-3,"['한옥카페', ' 베이커리']",051-941-9989,음식점,0,0,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20220126081221_photo9_d13cdfea026e.jpg
81,써브웨이 부산역점,0,매일오전 9시 - 오후 7시,35.1170576,129.0436878,부산광역시 동구 초량동 1187-1,['샌드위치'],070-4090-3721,음식점,0,0,0
82,덕천복집,0,매일오전 10시 - 오후 10시,35.2124919,129.0094663,부산광역시 북구 덕천동 345-9,"['복어', ' 복집']",051-334-5454,음식점,0,0,https://d2t7cq5f1ua57i.cloudfront.net/images/r_images/58708/55938/58708_55938_80_0_3112_201841819649341.jpg
83,까치생숯불구이,0,"화,수,목,금,토/일오후 4시 - 오후 10시|휴무일매주 월요일",35.0556365,128.9674986,부산광역시 사하구 다대동 626,"['오겹살', ' 숯불구이']",051-265-9997,음식점,0,0,https://d2t7cq5f1ua57i.cloudfront.net/images/r_images/56119/56899/56119_56899_85_0_9213_2014103017585128.jpg
84,드렁큰고양이,0,매일오후 5시 30분 - 오전 3시,35.1352974,129.0996368,부산광역시 남구 대연동 63-11,"['술집', ' 계란말이']",0,음식점,0,0,https://d2t7cq5f1ua57i.cloudfront.net/images/r_images/54021/58079/54021_58079__18822068.jpg
85,밀러타임 동래점,0,0,35.2053967,129.0796249,부산광역시 동래구 명륜동 540-3,"['맥주', ' 밀러생맥주']",051-552-0711,음식점,0,0,0
86,차선책,0,매일오전 11시 - 오후 10시,35.1547291,129.1199445,부산광역시 수영구 민락동 179-11,"['카페', ' 디저트']",0,음식점,0,0,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20211222062717_photo1_1559c67e6a15.jpg
87,초량낙지볶음,0,0,35.1180671,129.0427496,부산광역시 동구 초량동 1195-6,"['낙지볶음', ' 낙곱새']",051-464-9978,음식점,0,0,0
88,해월,0,매일오전 11시 - 오후 10시|쉬는시간 매일오후 3시 - 오후 4시 30분,35.2175667,129.076537,부산광역시 동래구 온천동 307-1,"['언양불고기', ' 밀면']",051-553-9876,음식점,0,0,0
89,산호장횟집앤조개구이,0,매일오전 10시 - 오후 10시,35.0556365,128.9674986,부산광역시 사하구 다대동 468-16,"['조개구이', ' 횟집']",051-261-1804,음식점,0,0,https://d2t7cq5f1ua57i.cloudfront.net/images/r_images/57657/58154/57657_58154_80_0_4492_201842818348716.jpg
90,이차돌 부산구서점,0,매일정오 12시 - 오후 10시,35.2468799,129.0890625,부산광역시 금정구 구서동 87-26,['차돌박이'],051-582-7942,음식점,0,0,0
92,박가네순두부,0,"월,수,목,금,토/일오전 9시 - 오후 9시|휴무일매주 화요일",35.0807823,128.8762248,부산광역시 강서구 신호동 306-11,"['순두부찌개', ' 순두부']",051-971-8820,음식점,0,0,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210201123905774_photo_dba0cd1058af.jpg
93,영커피 남포동점,0,매일오전 9시 - 오전 3시,35.0986567,129.0320884,부산광역시 중구 남포동2가 12-2,"['커피', ' 크로플']",051-257-0045,음식점,0,0,0
94,통큰노가리 본점,0,매일오후 6시 - 오전 2시,35.2581833,129.0867378,부산광역시 금정구 구서동 653-20,"['노가리', ' 맥주']",0,음식점,0,0,0
95,해목,0,매일오전 11시 - 오후 10시|쉬는시간 매일오후 3시 - 오후 5시,35.1617421,129.1597712,부산광역시 해운대구 우동 542-30,"['텐동', ' 히츠마부시']",051-746-3730,음식점,0,0,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20220228093923422_photo_bb3c827ca272.jpg
97,허그맘,0,0,35.0997151,129.0181033,부산광역시 서구 아미동2가 67-65,"['떡볶이', ' 순대']",051-255-5575,음식점,0,0,0
98,스타벅스 자갈치역점,0,매일오전 8시 - 오후 9시,35.0983776,129.0297158,부산광역시 중구 남포동5가 8-1,['카페'],1522-3232,음식점,0,0,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20211201013706258_photo_dea771de1115.jpg
99,남산커피,0,월-금오전 9시 - 오후 8시 30분|토요일오전 11시 - 오후 8시|휴무일매주 일요일,35.2687671,129.0889476,부산광역시 금정구 남산동 332-15,"['커피', ' 카페']",0,음식점,0,0,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210815115739198_photo_883162b11a7a.jpg
100,착한낙지,0,매일오전 10시 - 오후 10시,35.226451,129.0104037,부산광역시 북구 화명동 977-8,"['낙지', ' 산낙지볶음']",051-331-7070,음식점,0,0,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20200710031019_photo1_a6c7a704a1f6.jpg
101,맘스터치 덕두점,0,매일오전 10시 30분 - 오후 10시,35.1778063,128.9576555,부산광역시 강서구 대저2동 1991-1,"['버거', ' 치킨']",051-971-8963,음식점,0,0,0
102,나유타 카페,0,"월-금,토정오 12시 - 오후 8시|쉬는시간 매주 월-금,토오후 3시 - 오후 5시",35.2374999,129.0855873,부산광역시 금정구 장전동 155-17,"['비건', ' 비건식당']",0,음식점,0,0,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20190731123851_photo1_bc30be366136.jpg
104,커피이루카,0,"월,화,목,금오전 7시 30분 - 오후 6시|휴무일매주 토/일",35.1231253,129.0445848,부산광역시 동구 초량동 1158-8,"['커피', ' 카페']",051-468-4654,음식점,0,0,0
106,오늘김해뒷고기,0,매일오후 2시 - 오전 1시                                            (밤11시30분까지 오셔야합니다),35.1371069,129.1044486,부산광역시 남구 대연동 43-60 1층,"['생뒷고기', ' 뒷고기']",0,음식점,0,0,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20190901150158_photo1_wP3KozDlpWwg.jpg
107,란스시,0,"월-금,토오후 4시 - 오전 2시|휴무일매주 일요일",35.154522,129.0549406,부산광역시 부산진구 부전동 514-8,"['초밥', ' 스시']",051-714-5279,음식점,0,0,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20190623062921_menu1_Wk7fhs1AkMJZ.jpg
108,홍콩반점0410 서면점,0,매일오전 11시 30분 - 오후 10시,35.1551384,129.0612616,부산광역시 부산진구 부전동 175 109호,"['중식당', ' 고추짜장']",070-8818-0410,음식점,0,0,https://d2t7cq5f1ua57i.cloudfront.net/images/r_images/55201/50462/55201_50462_89_0_3993_20141125184152484.jpg
109,면앤면추억의가락국수,0,0,35.1170576,129.0436878,부산광역시 동구 초량동 1187-1,['국수'],070-7092-7137,음식점,0,0,0
110,장미정,0,0,35.1641795,128.9849233,부산광역시 사상구 괘법동 536-2,"['술집', ' 꽃게탕']",051-311-2733,음식점,0,0,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20220108110803_photo1_f015078bd63b.jpg
111,남포식육식당,0,"월-금,토오전 11시 - 오후 10시|휴무일매주 일요일",35.0992933,129.0239845,부산광역시 서구 토성동1가 25-1,"['김치찌개', ' 국밥']",0,음식점,0,0,0
112,심야술집,0,0,35.1566385,129.0603075,부산광역시 부산진구 부전동 168-129,"['술집', ' 바지락술찜']",0,음식점,0,0,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20200119030753_photo1_e664af45f59e.jpg
113,삼겹파티 가야점,0,0,35.1561537,129.0429555,부산광역시 부산진구 가야동 19-1,"['대패삼겹', ' 대패삼겹살']",051-897-4523,음식점,0,0,0
114,밀양국밥,0,매일오전 8시 30분 - 오전 2시,35.1637893,128.9843511,부산광역시 사상구 괘법동 535-15,"['돼지국밥', ' 국밥']",051-311-1270,음식점,0,0,https://d2t7cq5f1ua57i.cloudfront.net/images/r_images/53740/53123/53740_53123_83_2_9418_20144172232026.jpg
115,서울깍두기,0,매일24시간 영업,35.162115,128.9810698,부산광역시 사상구 괘법동 564-3,"['곰탕', ' 설렁탕']",051-977-3497,음식점,0,0,https://d2t7cq5f1ua57i.cloudfront.net/images/r_images/52992/59702/52992_59702_89_0_7234_201881525646614.jpg
116,스타벅스 서면엠디엠타워점,0,월-금오전 7시 - 오후 7시|토/일오전 10시 - 오후 6시,35.1497345,129.0587945,부산광역시 부산진구 범천동 863-1,"['돌체라떼', ' 아메리카노']",1522-3232,음식점,0,0,0
118,웅복,0,"월-금,토오전 11시 30분 - 오후 9시 30분|쉬는시간 매주 월-금,토오후 3시 - 오후 5시|휴무일매주 일요일",35.1306654,129.0478213,부산광역시 동구 좌천동 692-18,"['참복회', ' 복불고기']",051-632-2019,음식점,0,0,0
120,투썸플레이스,0,매일오전 9시 - 오후 10시 30분,35.0823145,128.9739792,부산광역시 사하구 장림동 198-1,"['카페', ' 아이스아메리카노']",051-262-5061,음식점,0,0,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20211222034509436_photo_c58c7d661ca5.jpg
121,파티넥스트도어,0,0,35.1548469,129.0610931,부산광역시 부산진구 부전동 172-4,"['칵테일', ' 펍']",0,음식점,0,0,https://d2t7cq5f1ua57i.cloudfront.net/images/r_images/53045/57958/53045_57958_80_0_6837_201862753225.jpg
122,고향집,0,"월-금,토오전 11시 - 오후 9시|휴무일매주 일요일",35.0995249,129.0193907,부산광역시 서구 아미동1가 21-8,"['아구찜', ' 뽈찜']",051-255-2314,음식점,0,0,0
123,서울부대찌개,0,0,35.1702679,129.1324643,부산광역시 해운대구 우동 1498,"['부대찌개', ' 부대전골']",051-741-4455,음식점,0,0,https://d2t7cq5f1ua57i.cloudfront.net/images/r_images/52104/53699/52104_53699_86_0_7153_20161122143035466.jpg
124,새우까는집,0,"월,수,목,금오후 4시 - 자정 12시|화,토/일오후 3시 - 오후 11시 59분",35.1106635,129.017997,부산광역시 서구 동대신동2가 380-3,"['해물', ' 새우구이']",051-231-0006,음식점,0,0,0
125,수안뚝배기순두부,0,0,35.1996963,129.0839771,부산광역시 동래구 수안동 9-35,"['순두부', ' 뚝배기']",051-556-3578,음식점,0,0,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20211007122651_photo1_d866ef883f79.jpg
126,열혈떡볶이 서면점,0,매일오전 11시 30분 - 오전 2시,35.1600008,129.0537897,부산광역시 부산진구 부전동 414-7,['떡볶이'],0,음식점,0,0,0
127,고촌보쌈돼지국밥,0,0,35.205834,129.0790036,부산광역시 동래구 명륜동 533-98,"['보쌈', ' 돼지국밥']",051-555-4955,음식점,0,0,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20210719034722_photo1_9e1675a489d9.jpg
129,1인 육회&육개장 청송한우,0,0,35.1672861,129.1182001,부산광역시 수영구 민락동 129-3,"['육회', ' 육개장']",051-755-1724,음식점,0,0,0
130,규봉카레,0,"월-금,토오전 11시 - 오후 8시 30분|휴무일매주 일요일",35.1301985,129.0498078,부산광역시 동구 수정동 229-6,"['카레', ' 일본식카레']",070-4411-9765,음식점,0,0,https://d2t7cq5f1ua57i.cloudfront.net/images/r_images/57944/56086/57944_56086_86_5_3181_201491231524847.jpg
131,인정국물떡볶이,0,매일오전 11시 - 오전 1시                                            (연중무휴),35.1476365,129.0333704,부산광역시 부산진구 가야동 459-19,"['떡볶이', ' 국물떡볶이']",051-897-5407,음식점,0,0,https://s3-ap-northeast-1.amazonaws.com/dcreviewsresized/20190902003200_photo0_CElUSsCcaFyo.jpg
